index,first_pic,second_pic,locy,lure1,loc2y,lure2,loc3y,location,change,key
0,stimuli/scene/pairs/B1.jpg,stimuli/scene/pairs/A1.jpg,-400,stimuli/scene/lures/7.jpg,0,stimuli/scene/lures/32.jpg,400,0,1,k
1,stimuli/scene/pairs/A7.jpg,stimuli/scene/pairs/A7.jpg,0,stimuli/scene/lures/11.jpg,-400,stimuli/scene/lures/34.jpg,400,1,0,j
2,stimuli/scene/pairs/A15.jpg,stimuli/scene/pairs/B15.jpg,-400,stimuli/scene/lures/4.jpg,0,stimuli/scene/lures/12.jpg,400,0,1,k
3,stimuli/scene/pairs/B6.jpg,stimuli/scene/pairs/A6.jpg,0,stimuli/scene/lures/30.jpg,-400,stimuli/scene/lures/9.jpg,400,1,1,k
4,stimuli/scene/pairs/A18.jpg,stimuli/scene/pairs/B18.jpg,0,stimuli/scene/lures/29.jpg,-400,stimuli/scene/lures/16.jpg,400,1,1,k
5,stimuli/scene/pairs/B3.jpg,stimuli/scene/pairs/A3.jpg,400,stimuli/scene/lures/8.jpg,0,stimuli/scene/lures/33.jpg,-400,2,1,k
6,stimuli/scene/pairs/B13.jpg,stimuli/scene/pairs/B13.jpg,400,stimuli/scene/lures/1.jpg,0,stimuli/scene/lures/21.jpg,-400,2,0,j
7,stimuli/scene/pairs/A8.jpg,stimuli/scene/pairs/B8.jpg,-400,stimuli/scene/lures/10.jpg,0,stimuli/scene/lures/31.jpg,400,0,1,k
8,stimuli/scene/pairs/A17.jpg,stimuli/scene/pairs/B17.jpg,0,stimuli/scene/lures/3.jpg,-400,stimuli/scene/lures/28.jpg,400,1,1,k
9,stimuli/scene/pairs/B4.jpg,stimuli/scene/pairs/A4.jpg,400,stimuli/scene/lures/19.jpg,0,stimuli/scene/lures/2.jpg,-400,2,1,k
10,stimuli/scene/pairs/A2.jpg,stimuli/scene/pairs/A2.jpg,400,stimuli/scene/lures/23.jpg,0,stimuli/scene/lures/20.jpg,-400,2,0,j
11,stimuli/scene/pairs/B5.jpg,stimuli/scene/pairs/B5.jpg,400,stimuli/scene/lures/13.jpg,0,stimuli/scene/lures/6.jpg,-400,2,0,j
12,stimuli/scene/pairs/B12.jpg,stimuli/scene/pairs/A12.jpg,-400,stimuli/scene/lures/15.jpg,0,stimuli/scene/lures/17.jpg,400,0,1,k
13,stimuli/scene/pairs/B14.jpg,stimuli/scene/pairs/B14.jpg,400,stimuli/scene/lures/24.jpg,0,stimuli/scene/lures/14.jpg,-400,2,0,j
14,stimuli/scene/pairs/B11.jpg,stimuli/scene/pairs/A11.jpg,400,stimuli/scene/lures/26.jpg,0,stimuli/scene/lures/22.jpg,-400,2,1,k
15,stimuli/scene/pairs/B9.jpg,stimuli/scene/pairs/B9.jpg,-400,stimuli/scene/lures/36.jpg,0,stimuli/scene/lures/18.jpg,400,0,0,j
16,stimuli/scene/pairs/A10.jpg,stimuli/scene/pairs/A10.jpg,400,stimuli/scene/lures/35.jpg,0,stimuli/scene/lures/5.jpg,-400,2,0,j
17,stimuli/scene/pairs/A16.jpg,stimuli/scene/pairs/A16.jpg,400,stimuli/scene/lures/27.jpg,0,stimuli/scene/lures/25.jpg,-400,2,0,j
